family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
reduction,sibling_redux_n32,pointwise,reduction,float16,2048,4096,31.0303,1,17301504,34078720,0.25,regs,256,4608.0,1.0,100,256.0,536870912,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.0637,4.3689,4.39283,4.64742,4.67277,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,2048,4096,15.6336,0,34340864,67895296,0.25,regs,256,4608.0,1.0,100,256.0,536870912,0.0,2,,32.0,32.0,16.0,,32.0,4.0,0.6308,4.4928,4.55219,2.85389,2.87142,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,2048,4096,60.2353,0,17825792,68157440,0.25,regs,256,5120.0,1.0,524,256.0,1073741824,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.4323,21.55699,21.60422,9.29792,9.33888,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,2048,4096,30.5672,0,35127296,135790592,0.25,regs,256,4608.0,1.0,524,256.0,1073741824,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.2712,21.03501,21.11834,5.70214,5.72698,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,2048,4096,113.7778,0,18874368,136314880,0.25,regs,256,5120.0,1.0,844,256.0,2147483648,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.3742,49.91642,49.97018,18.66394,18.70118,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,2048,4096,58.5143,0,36700160,271581184,0.25,regs,256,4608.0,1.0,848,256.0,2147483648,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.2329,48.95514,49.07149,11.40659,11.43066,0.25,236,4608.0,0.0,0,1,1,,
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float16,2048,2048,,1,20979712,54534144,0.375,,134,,,0,,4294967296,,2,,,,,512.0,,,1.209,,0.1103,,0.1334,0.375,134,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float32,2048,2048,,1,25174016,58728448,0.25,,168,,,0,,4294967296,,2,,,,,512.0,,,1.144,,0.1574,,0.1801,0.25,168,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float16,2048,2048,,1,20979712,54534144,0.125,,256,,,117,,4294967296,,2,,,,,512.0,,,1.064,,0.4157,,0.4424,0.125,256,,,118,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float32,2048,2048,,0,25174016,58728448,0.125,,256,,,205,,4294967296,,2,,,,,512.0,,,0.832,,0.8097,,0.6734,0.125,256,,,234,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float16,2048,2048,,1,33562624,67117056,0.375,,134,,,0,,17179869184,,2,,,,,2048.0,,,1.044,,0.3786,,0.3954,0.375,134,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float32,2048,2048,,1,50339840,83894272,0.25,,168,,,0,,17179869184,,2,,,,,2048.0,,,1.05,,0.5028,,0.5281,0.25,168,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float16,2048,2048,,1,33562624,67117056,0.125,,256,,,117,,17179869184,,2,,,,,2048.0,,,1.011,,1.607,,1.6255,0.125,256,,,118,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float32,2048,2048,,0,50339840,83894272,0.125,,256,,,205,,17179869184,,2,,,,,2048.0,,,0.799,,3.0565,,2.4424,0.125,256,,,234,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float16,4096,4096,,1,75513856,209731584,0.375,,134,,,0,,17179869184,,2,,,,,512.0,,,1.146,,0.4058,,0.4649,0.375,134,,,0,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float32,4096,4096,,1,83902464,218120192,0.25,,168,,,0,,17179869184,,2,,,,,512.0,,,1.141,,0.5864,,0.6692,0.25,168,,,0,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float16,4096,4096,,1,75513856,209731584,0.125,,256,,,117,,17179869184,,2,,,,,512.0,,,1.059,,1.4938,,1.5823,0.125,256,,,118,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float32,4096,4096,,0,83902464,218120192,0.125,,256,,,205,,17179869184,,2,,,,,512.0,,,0.819,,2.8897,,2.3658,0.125,256,,,234,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float16,1024,1024,,1,20975616,29364224,0.375,,134,,,0,,8589934592,,2,,,,,4096.0,,,1.048,,0.2211,,0.2317,0.375,134,,,0,2,1,1024.0,1024.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float32,1024,1024,,1,37752832,46141440,0.25,,168,,,0,,8589934592,,2,,,,,4096.0,,,1.033,,0.3208,,0.3314,0.25,168,,,0,2,1,1024.0,1024.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float16,1024,1024,,1,20975616,29364224,0.125,,256,,,117,,8589934592,,2,,,,,4096.0,,,1.017,,1.0063,,1.0239,0.125,256,,,118,2,1,1024.0,1024.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float32,1024,1024,,0,37752832,46141440,0.125,,256,,,205,,8589934592,,2,,,,,4096.0,,,0.777,,1.9133,,1.4865,0.125,256,,,234,2,1,1024.0,1024.0
